plate_row,plate_col,template_name,template_conc,template_type,template_rep,plate_well
A,1,227,,Unknown,1,A1
B,1,228,,Unknown,1,B1
C,1,229,,Unknown,1,C1
D,1,230,,Unknown,1,D1
E,1,231,,Unknown,1,E1
F,1,232,,Unknown,1,F1
G,1,235,,Unknown,1,G1
H,1,236,,Unknown,1,H1
A,2,227,,Unknown,2,A2
B,2,228,,Unknown,2,B2
C,2,229,,Unknown,2,C2
D,2,230,,Unknown,2,D2
E,2,231,,Unknown,2,E2
F,2,232,,Unknown,2,F2
G,2,235,,Unknown,2,G2
H,2,236,,Unknown,2,H2
A,3,227,,Unknown,3,A3
B,3,228,,Unknown,3,B3
C,3,229,,Unknown,3,C3
D,3,230,,Unknown,3,D3
E,3,231,,Unknown,3,E3
F,3,232,,Unknown,3,F3
G,3,235,,Unknown,3,G3
H,3,236,,Unknown,3,H3
A,4,241,,Unknown,1,A4
B,4,244,,Unknown,1,B4
C,4,245,,Unknown,1,C4
D,4,253,,Unknown,1,D4
E,4,255,,Unknown,1,E4
F,4,256,,Unknown,1,F4
G,4,264,,Unknown,1,G4
H,4,265,,Unknown,1,H4
A,5,241,,Unknown,2,A5
B,5,244,,Unknown,2,B5
C,5,245,,Unknown,2,C5
D,5,253,,Unknown,2,D5
E,5,255,,Unknown,2,E5
F,5,256,,Unknown,2,F5
G,5,264,,Unknown,2,G5
H,5,265,,Unknown,2,H5
A,6,241,,Unknown,3,A6
B,6,244,,Unknown,3,B6
C,6,245,,Unknown,3,C6
D,6,253,,Unknown,3,D6
E,6,255,,Unknown,3,E6
F,6,256,,Unknown,3,F6
G,6,264,,Unknown,3,G6
H,6,265,,Unknown,3,H6
A,7,327,,Unknown,1,A7
B,7,328,,Unknown,1,B7
C,7,329,,Unknown,1,C7
D,7,341,,Unknown,1,D7
E,7,342,,Unknown,1,E7
F,7,345,,Unknown,1,F7
G,7,351,,Unknown,1,G7
H,7,354,,Unknown,1,H7
A,8,327,,Unknown,2,A8
B,8,328,,Unknown,2,B8
C,8,329,,Unknown,2,C8
D,8,341,,Unknown,2,D8
E,8,342,,Unknown,2,E8
F,8,345,,Unknown,2,F8
G,8,351,,Unknown,2,G8
H,8,354,,Unknown,2,H8
A,9,327,,Unknown,3,A9
B,9,328,,Unknown,3,B9
C,9,329,,Unknown,3,C9
D,9,341,,Unknown,3,D9
E,9,342,,Unknown,3,E9
F,9,345,,Unknown,3,F9
G,9,351,,Unknown,3,G9
H,9,354,,Unknown,3,H9
A,10,355,,Unknown,1,A10
B,10,356,,Unknown,1,B10
C,10,357,,Unknown,1,C10
D,10,358,,Unknown,1,D10
E,10,359,,Unknown,1,E10
F,10,360,,Unknown,1,F10
G,10,control_neg,,Unknown,1,G10
H,10,control_pos,,Unknown,1,H10
A,11,355,,Unknown,2,A11
B,11,356,,Unknown,2,B11
C,11,357,,Unknown,2,C11
D,11,358,,Unknown,2,D11
E,11,359,,Unknown,2,E11
F,11,360,,Unknown,2,F11
G,11,control_neg,,Unknown,2,G11
H,11,control_pos,,Unknown,2,H11
A,12,355,,Unknown,3,A12
B,12,356,,Unknown,3,B12
C,12,357,,Unknown,3,C12
D,12,358,,Unknown,3,D12
E,12,359,,Unknown,3,E12
F,12,360,,Unknown,3,F12
G,12,control_neg,,Unknown,3,G12
H,12,control_pos,,Unknown,3,H12
